date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:44:13	26783/26783	---M--	200	added ('OK')	text/html	etag:%22689f-597c38afff380%22	http://wearekllr.com/demos/scrn/demos/index-minimal.html	/home/frederick/Dev/websites/sample/wearekllr.com/demos/scrn/demos/index-minimal.html	(from )
17:44:13	5385/5385	---M--	404	error ('Not%20Found')	text/html	etag:%221509-568df49b2bec0%22	http://wearekllr.com/robots.txt		(from )
17:44:14	5590/5590	---M--	200	added ('OK')	image/x-icon	etag:%2215d6-597c38b8947c0%22	http://wearekllr.com/demos/scrn/demos/assets/images/favicon.ico	/home/frederick/Dev/websites/sample/wearekllr.com/demos/scrn/demos/assets/images/favicon.ico	(from http://wearekllr.com/demos/scrn/demos/index-minimal.html)
17:44:15	2997/2997	---M--	200	added ('OK')	image/png	etag:%22bb5-597c38bb70e80%22	http://wearekllr.com/demos/scrn/demos/assets/images/apple-touch-icon.png	/home/frederick/Dev/websites/sample/wearekllr.com/demos/scrn/demos/assets/images/apple-touch-icon.png	(from http://wearekllr.com/demos/scrn/demos/index-minimal.html)
17:44:16	31023/31023	---M-Z	200	added ('OK')	text/css	etag:%22792f-597c3907bc280-gzip%22	http://wearekllr.com/demos/scrn/demos/assets/vendor/font-awesome/css/font-awesome.min.css	/home/frederick/Dev/websites/sample/wearekllr.com/demos/scrn/demos/assets/vendor/font-awesome/css/font-awesome.min.css	(from http://wearekllr.com/demos/scrn/demos/index-minimal.html)
17:44:17	121236/121236	---M-Z	200	added ('OK')	text/css	etag:%221d994-597c38f4a9580-gzip%22	http://wearekllr.com/demos/scrn/demos/assets/vendor/bootstrap/css/bootstrap.min.css	/home/frederick/Dev/websites/sample/wearekllr.com/demos/scrn/demos/assets/vendor/bootstrap/css/bootstrap.min.css	(from http://wearekllr.com/demos/scrn/demos/index-minimal.html)
17:44:18	1946/1946	---M-Z	200	added ('OK')	text/css	etag:%2279a-597c38edfc5c0-gzip%22	http://wearekllr.com/demos/scrn/demos/assets/vendor/nivo-slider/nivo-slider.css	/home/frederick/Dev/websites/sample/wearekllr.com/demos/scrn/demos/assets/vendor/nivo-slider/nivo-slider.css	(from http://wearekllr.com/demos/scrn/demos/index-minimal.html)
17:44:19	2040/2040	---M-Z	200	added ('OK')	text/css	etag:%227f8-597c391145900-gzip%22	http://wearekllr.com/demos/scrn/demos/assets/vendor/nivo-slider/themes/default/default.css	/home/frederick/Dev/websites/sample/wearekllr.com/demos/scrn/demos/assets/vendor/nivo-slider/themes/default/default.css	(from http://wearekllr.com/demos/scrn/demos/index-minimal.html)
17:44:20	68796/68796	---M-Z	200	added ('OK')	text/css	etag:%2210cbc-597c38b5b8100-gzip%22	http://wearekllr.com/demos/scrn/demos/assets/css/animate.css	/home/frederick/Dev/websites/sample/wearekllr.com/demos/scrn/demos/assets/css/animate.css	(from http://wearekllr.com/demos/scrn/demos/index-minimal.html)
17:44:21	4576/4576	---M-Z	200	added ('OK')	text/css	etag:%2211e0-597c392087d00-gzip%22	http://wearekllr.com/demos/scrn/demos/assets/vendor/vanillabox/theme/bitter/vanillabox.css	/home/frederick/Dev/websites/sample/wearekllr.com/demos/scrn/demos/assets/vendor/vanillabox/theme/bitter/vanillabox.css	(from http://wearekllr.com/demos/scrn/demos/index-minimal.html)
17:44:22	20405/20405	---M-Z	200	added ('OK')	text/css	etag:%224fb5-597c38b4c3ec0-gzip%22	http://wearekllr.com/demos/scrn/demos/assets/css/styles.css	/home/frederick/Dev/websites/sample/wearekllr.com/demos/scrn/demos/assets/css/styles.css	(from http://wearekllr.com/demos/scrn/demos/index-minimal.html)
17:44:23	1286/1286	---M-Z	200	added ('OK')	text/css	etag:%22506-597c38b5b8100-gzip%22	http://wearekllr.com/demos/scrn/demos/assets/css/styles-minimal.css	/home/frederick/Dev/websites/sample/wearekllr.com/demos/scrn/demos/assets/css/styles-minimal.css	(from http://wearekllr.com/demos/scrn/demos/index-minimal.html)
17:44:26	43218/43218	---M--	200	added ('OK')	image/jpeg	etag:%22a8d2-597c38c129c00%22	http://wearekllr.com/demos/scrn/demos/assets/images/intro-bg-2.jpg	/home/frederick/Dev/websites/sample/wearekllr.com/demos/scrn/demos/assets/images/intro-bg-2.jpg	(from http://wearekllr.com/demos/scrn/demos/index-minimal.html)
17:44:27	26790/26790	---M--	200	added ('OK')	text/html	etag:%2268a6-597c38b0f35c0%22	http://wearekllr.com/demos/scrn/demos/index.html	/home/frederick/Dev/websites/sample/wearekllr.com/demos/scrn/demos/index.html	(from http://wearekllr.com/demos/scrn/demos/index-minimal.html)
17:44:38	53878/53878	---M--	200	added ('OK')	image/jpeg	etag:%22d276-597c38c4062c0%22	http://wearekllr.com/demos/scrn/demos/assets/images/slide-2.jpg	/home/frederick/Dev/websites/sample/wearekllr.com/demos/scrn/demos/assets/images/slide-2.jpg	(from http://wearekllr.com/demos/scrn/demos/index-minimal.html)
17:44:43	100808/100808	---M--	200	added ('OK')	image/jpeg	etag:%22189c8-597c38c6e2980%22	http://wearekllr.com/demos/scrn/demos/assets/images/slide-1.jpg	/home/frederick/Dev/websites/sample/wearekllr.com/demos/scrn/demos/assets/images/slide-1.jpg	(from http://wearekllr.com/demos/scrn/demos/index-minimal.html)
17:44:45	7478/7478	---M--	200	added ('OK')	text/html	etag:%221d36-597c38b1e7800%22	http://wearekllr.com/demos/scrn/demos/single-project.html	/home/frederick/Dev/websites/sample/wearekllr.com/demos/scrn/demos/single-project.html	(from http://wearekllr.com/demos/scrn/demos/index-minimal.html)
17:44:47	82637/82637	---M--	200	added ('OK')	image/jpeg	etag:%22142cd-597c38c7d6bc0%22	http://wearekllr.com/demos/scrn/demos/assets/images/work-1.jpg	/home/frederick/Dev/websites/sample/wearekllr.com/demos/scrn/demos/assets/images/work-1.jpg	(from http://wearekllr.com/demos/scrn/demos/index-minimal.html)
17:44:49	44486/44486	---M--	200	added ('OK')	image/jpeg	etag:%22adc6-597c38bc650c0%22	http://wearekllr.com/demos/scrn/demos/assets/images/work-thumb-1.jpg	/home/frederick/Dev/websites/sample/wearekllr.com/demos/scrn/demos/assets/images/work-thumb-1.jpg	(from http://wearekllr.com/demos/scrn/demos/index-minimal.html)
17:44:51	15107/15107	---M--	200	added ('OK')	image/jpeg	etag:%223b03-597c38bd59300%22	http://wearekllr.com/demos/scrn/demos/assets/images/work-thumb-2.jpg	/home/frederick/Dev/websites/sample/wearekllr.com/demos/scrn/demos/assets/images/work-thumb-2.jpg	(from http://wearekllr.com/demos/scrn/demos/index-minimal.html)
17:44:53	11182/11182	---M--	200	added ('OK')	image/jpeg	etag:%222bae-597c38bc650c0%22	http://wearekllr.com/demos/scrn/demos/assets/images/work-thumb-3.jpg	/home/frederick/Dev/websites/sample/wearekllr.com/demos/scrn/demos/assets/images/work-thumb-3.jpg	(from http://wearekllr.com/demos/scrn/demos/index-minimal.html)
17:44:53	129771/129771	---M--	200	added ('OK')	image/jpeg	etag:%221faeb-597c38c5ee740%22	http://wearekllr.com/demos/scrn/demos/assets/images/slide-3.jpg	/home/frederick/Dev/websites/sample/wearekllr.com/demos/scrn/demos/assets/images/slide-3.jpg	(from http://wearekllr.com/demos/scrn/demos/index-minimal.html)
17:44:59	22535/22535	---M--	200	added ('OK')	image/jpeg	etag:%225807-597c38be4d540%22	http://wearekllr.com/demos/scrn/demos/assets/images/work-thumb-6.jpg	/home/frederick/Dev/websites/sample/wearekllr.com/demos/scrn/demos/assets/images/work-thumb-6.jpg	(from http://wearekllr.com/demos/scrn/demos/index-minimal.html)
17:45:13	48566/48566	---M--	200	added ('OK')	image/jpeg	etag:%22bdb6-597c38cc9b700%22	http://wearekllr.com/demos/scrn/demos/assets/images/about-1.jpg	/home/frederick/Dev/websites/sample/wearekllr.com/demos/scrn/demos/assets/images/about-1.jpg	(from http://wearekllr.com/demos/scrn/demos/index-minimal.html)
17:45:21	33701/33701	---M--	200	added ('OK')	image/jpeg	etag:%2283a5-597c38c5ee740%22	http://wearekllr.com/demos/scrn/demos/assets/images/team-1.jpg	/home/frederick/Dev/websites/sample/wearekllr.com/demos/scrn/demos/assets/images/team-1.jpg	(from http://wearekllr.com/demos/scrn/demos/index-minimal.html)
17:45:32	33596/33596	---M--	200	added ('OK')	image/jpeg	etag:%22833c-597c38c8cae00%22	http://wearekllr.com/demos/scrn/demos/assets/images/team-2.jpg	/home/frederick/Dev/websites/sample/wearekllr.com/demos/scrn/demos/assets/images/team-2.jpg	(from http://wearekllr.com/demos/scrn/demos/index-minimal.html)
17:45:38	23430/23430	---M--	200	added ('OK')	image/jpeg	etag:%225b86-597c38c7d6bc0%22	http://wearekllr.com/demos/scrn/demos/assets/images/team-3.jpg	/home/frederick/Dev/websites/sample/wearekllr.com/demos/scrn/demos/assets/images/team-3.jpg	(from http://wearekllr.com/demos/scrn/demos/index-minimal.html)
17:45:49	331444/331444	---M--	200	added ('OK')	image/jpeg	etag:%2250eb4-597c38c4fa500%22	http://wearekllr.com/demos/scrn/demos/assets/images/work-2.jpg	/home/frederick/Dev/websites/sample/wearekllr.com/demos/scrn/demos/assets/images/work-2.jpg	(from http://wearekllr.com/demos/scrn/demos/index-minimal.html)
17:45:51	9394/9394	---M--	200	added ('OK')	text/html	etag:%2224b2-597c38b0f35c0%22	http://wearekllr.com/demos/scrn/demos/single-post.html	/home/frederick/Dev/websites/sample/wearekllr.com/demos/scrn/demos/single-post.html	(from http://wearekllr.com/demos/scrn/demos/index-minimal.html)
17:45:51	279120/279120	---M--	200	added ('OK')	image/jpeg	etag:%2244250-597c38bc650c0%22	http://wearekllr.com/demos/scrn/demos/assets/images/bg-1.jpg	/home/frederick/Dev/websites/sample/wearekllr.com/demos/scrn/demos/assets/images/bg-1.jpg	(from http://wearekllr.com/demos/scrn/demos/index-minimal.html)
17:45:53	274513/274513	---M--	200	added ('OK')	image/jpeg	etag:%2243051-597c38ba7cc40%22	http://wearekllr.com/demos/scrn/demos/assets/images/bg-2.jpg	/home/frederick/Dev/websites/sample/wearekllr.com/demos/scrn/demos/assets/images/bg-2.jpg	(from http://wearekllr.com/demos/scrn/demos/index-minimal.html)
17:46:00	37045/37045	---M-Z	200	added ('OK')	application/javascript	etag:%2290b5-597c39001b080-gzip%22	http://wearekllr.com/demos/scrn/demos/assets/vendor/bootstrap/js/bootstrap.min.js	/home/frederick/Dev/websites/sample/wearekllr.com/demos/scrn/demos/assets/vendor/bootstrap/js/bootstrap.min.js	(from http://wearekllr.com/demos/scrn/demos/index-minimal.html)
17:46:03	85578/85578	---M-Z	200	added ('OK')	application/javascript	etag:%2214e4a-597c38cf77dc0-gzip%22	http://wearekllr.com/demos/scrn/demos/assets/js/jquery-2.2.4.min.js	/home/frederick/Dev/websites/sample/wearekllr.com/demos/scrn/demos/assets/js/jquery-2.2.4.min.js	(from http://wearekllr.com/demos/scrn/demos/index-minimal.html)
17:46:03	6661/6661	---M-Z	200	added ('OK')	application/javascript	etag:%221a05-597c38f3b5340-gzip%22	http://wearekllr.com/demos/scrn/demos/assets/vendor/parallax/parallax.min.js	/home/frederick/Dev/websites/sample/wearekllr.com/demos/scrn/demos/assets/vendor/parallax/parallax.min.js	(from http://wearekllr.com/demos/scrn/demos/index-minimal.html)
17:46:04	615/615	---M-Z	200	added ('OK')	application/javascript	etag:%22267-597c38e472f40-gzip%22	http://wearekllr.com/demos/scrn/demos/assets/vendor/jquery.smoothscroll.min.js	/home/frederick/Dev/websites/sample/wearekllr.com/demos/scrn/demos/assets/vendor/jquery.smoothscroll.min.js	(from http://wearekllr.com/demos/scrn/demos/index-minimal.html)
17:46:05	5385/5385	---M--	404	error ('Not%20Found')	text/html	etag:%221509-568df49b2bec0%22	http://wearekllr.com/demos/scrn/demos/assets/vendor/scrollreveal/scrollReveal.min.js	/home/frederick/Dev/websites/sample/wearekllr.com/demos/scrn/demos/assets/vendor/scrollreveal/scrollReveal.min.js	(from http://wearekllr.com/demos/scrn/demos/index-minimal.html)
17:46:07	1125/1125	---M-Z	200	added ('OK')	application/javascript	etag:%22465-597c38e567180-gzip%22	http://wearekllr.com/demos/scrn/demos/assets/vendor/jquery.fixedcontent.min.js	/home/frederick/Dev/websites/sample/wearekllr.com/demos/scrn/demos/assets/vendor/jquery.fixedcontent.min.js	(from http://wearekllr.com/demos/scrn/demos/index-minimal.html)
17:46:09	4489/4489	---M-Z	200	added ('OK')	application/javascript	etag:%221189-597c38e567180-gzip%22	http://wearekllr.com/demos/scrn/demos/assets/vendor/jquery.vide.min.js	/home/frederick/Dev/websites/sample/wearekllr.com/demos/scrn/demos/assets/vendor/jquery.vide.min.js	(from http://wearekllr.com/demos/scrn/demos/index-minimal.html)
17:46:11	28935/28935	---M-Z	200	added ('OK')	application/javascript	etag:%227107-597c38e472f40-gzip%22	http://wearekllr.com/demos/scrn/demos/assets/vendor/jquery.mixitup.min.js	/home/frederick/Dev/websites/sample/wearekllr.com/demos/scrn/demos/assets/vendor/jquery.mixitup.min.js	(from http://wearekllr.com/demos/scrn/demos/index-minimal.html)
17:46:13	33038/33038	---M-Z	200	added ('OK')	application/javascript	etag:%22810e-597c38efe4a40-gzip%22	http://wearekllr.com/demos/scrn/demos/assets/vendor/vanillabox/jquery.vanillabox-0.1.7.min.js	/home/frederick/Dev/websites/sample/wearekllr.com/demos/scrn/demos/assets/vendor/vanillabox/jquery.vanillabox-0.1.7.min.js	(from http://wearekllr.com/demos/scrn/demos/index-minimal.html)
17:46:17	1487/1487	---M-Z	200	added ('OK')	application/javascript	etag:%225cf-597c38e937a80-gzip%22	http://wearekllr.com/demos/scrn/demos/assets/contact-form/js/form-scripts.js	/home/frederick/Dev/websites/sample/wearekllr.com/demos/scrn/demos/assets/contact-form/js/form-scripts.js	(from http://wearekllr.com/demos/scrn/demos/index-minimal.html)
17:46:19	222442/222442	---M--	200	added ('OK')	image/jpeg	etag:%22364ea-597c38bb70e80%22	http://wearekllr.com/demos/scrn/demos/assets/images/bg-3.jpg	/home/frederick/Dev/websites/sample/wearekllr.com/demos/scrn/demos/assets/images/bg-3.jpg	(from http://wearekllr.com/demos/scrn/demos/index-minimal.html)
17:46:19	3162/3162	---M-Z	200	added ('OK')	application/javascript	etag:%22c5a-597c38cf77dc0-gzip%22	http://wearekllr.com/demos/scrn/demos/assets/js/map.js	/home/frederick/Dev/websites/sample/wearekllr.com/demos/scrn/demos/assets/js/map.js	(from http://wearekllr.com/demos/scrn/demos/index-minimal.html)
17:46:21	1102/1102	---M-Z	200	added ('OK')	application/javascript	etag:%2244e-597c38ce83b80-gzip%22	http://wearekllr.com/demos/scrn/demos/assets/js/scrn.js	/home/frederick/Dev/websites/sample/wearekllr.com/demos/scrn/demos/assets/js/scrn.js	(from http://wearekllr.com/demos/scrn/demos/index-minimal.html)
17:46:23	179331/179331	---M--	200	added ('OK')	image/jpeg	etag:%222bc83-597c38b988a00%22	http://wearekllr.com/demos/scrn/demos/assets/images/bg-4.jpg	/home/frederick/Dev/websites/sample/wearekllr.com/demos/scrn/demos/assets/images/bg-4.jpg	(from http://wearekllr.com/demos/scrn/demos/index-minimal.html)
17:46:23	12201/12201	---M-Z	200	added ('OK')	application/javascript	etag:%222fa9-597c38edfc5c0-gzip%22	http://wearekllr.com/demos/scrn/demos/assets/vendor/nivo-slider/jquery.nivo.slider.pack.js	/home/frederick/Dev/websites/sample/wearekllr.com/demos/scrn/demos/assets/vendor/nivo-slider/jquery.nivo.slider.pack.js	(from http://wearekllr.com/demos/scrn/demos/index-minimal.html)
17:46:27	64464/64464	---M--	200	added ('OK')	text/html	etag:%22fbd0-597c38dfae400%22	http://wearekllr.com/demos/scrn/demos/assets/fonts/fontawesome-webfont.woff2?v=4.7.0	/home/frederick/Dev/websites/sample/wearekllr.com/demos/scrn/demos/assets/fonts/fontawesome-webfont3e6e.html	(from http://wearekllr.com/demos/scrn/demos/assets/vendor/font-awesome/css/font-awesome.min.css)
17:46:34	68875/68875	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:%2210d0b-597c38e196880-gzip%22	http://wearekllr.com/demos/scrn/demos/assets/fonts/fontawesome-webfont.eot?v=4.7.0	/home/frederick/Dev/websites/sample/wearekllr.com/demos/scrn/demos/assets/fonts/fontawesome-webfont3e6e.eot	(from http://wearekllr.com/demos/scrn/demos/assets/vendor/font-awesome/css/font-awesome.min.css)
17:46:39	355981/355981	---M--	200	added ('OK')	image/svg+xml	etag:%2256e8d-597c38dae98c0%22	http://wearekllr.com/demos/scrn/demos/assets/fonts/fontawesome-webfont.svg?v=4.7.0	/home/frederick/Dev/websites/sample/wearekllr.com/demos/scrn/demos/assets/fonts/fontawesome-webfont3e6e.svg	(from http://wearekllr.com/demos/scrn/demos/assets/vendor/font-awesome/css/font-awesome.min.css)
17:46:41	68875/68875	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:%2210d0b-597c38e196880-gzip%22	http://wearekllr.com/demos/scrn/demos/assets/fonts/fontawesome-webfont.eot?	/home/frederick/Dev/websites/sample/wearekllr.com/demos/scrn/demos/assets/fonts/fontawesome-webfontd41d.eot	(from http://wearekllr.com/demos/scrn/demos/assets/vendor/font-awesome/css/font-awesome.min.css)
17:46:43	18028/18028	---M--	200	added ('OK')	text/html	etag:%22466c-597c38ddc5f80%22	http://wearekllr.com/demos/scrn/demos/assets/fonts/glyphicons-halflings-regular.woff2	/home/frederick/Dev/websites/sample/wearekllr.com/demos/scrn/demos/assets/fonts/glyphicons-halflings-regular.html	(from http://wearekllr.com/demos/scrn/demos/assets/vendor/bootstrap/css/bootstrap.min.css)
